ID,Timestamp,Tweet,Keluhan,Respon,Bukan Keluhan/Respon,Topik Umum, Topik Spesifik,Lokasi,Waktu ,
678844958237822977,"21 Des 2015, 02:50:25 PM","@EL_Atheos @ridwankamil ya mungkin karena perempuan bj merah yg paling kelihatan karena berada di depan, laki2 jg sering jadi bahan joke RK",,,Ya,Bukan Keluhan,-,-,-,
678845619444703232,"21 Des 2015, 02:53:02 PM",@ridwankamil @dbmpkotabdg kang teman saya tertimpa pohn dijln sangkuriang dpn polsek coblong tlg ditertibkan phn yg sdh lapuknuhun,Ya,,,Lingkungan Hidup,pohon tumbang,Jalan Sangkuriang depan Polsek Coblong,-,
678846848619024384,"21 Des 2015, 02:57:55 PM",Di tribun jabar biasanya suka di post agenda kang emil. Tapi gak setiap hari sih. RT @Ry_ory: Klo saya k Bdg bs ketemu Kang @ridwankamil dmn,,,Ya,Bukan Keluhan,-,-,-,
678847097047678977,"21 Des 2015, 02:58:54 PM",@dbmpkotabdg RT @fajriattack: Lapor pak @ridwankamil lampu penerangan jalan depan kampus lpkia ngaplek :(:(:( https://t.co/RNsU5cQHuq,Ya,,,Infrastruktur,lampu penerangan jalan umum,Jalan depan Kampus LPKIA,-,
678849085621714944,"21 Des 2015, 03:06:49 PM","@diskamtam bapak/ibu mau tanya, kalo pemeliharaan taman2 yg banyak dibagun skr gimana nantinya?",,,Ya,Bukan Keluhan,-,-,-,
678850867219423232,"21 Des 2015, 03:13:53 PM",Pa @ridwankamil tempat kerja saya tgl 25 tetep masuk. gimana itu aturannya pa? kalo misalnya ga masuk dipotong gaji https://t.co/u3L7XtJFgE,Ya,,,Bidang Lainnya,-,-,-,
678850885150085124,"21 Des 2015, 03:13:58 PM","@pdamtirtawening@ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...",Ya,,,Pengelolaan Air & Sumber Daya Alam,air tidak mengalir,-,satu minggu ,
678853208651919360,"21 Des 2015, 03:23:12 PM","RT @KendiAdiputra: Anak SMA yang ketahuan mencuri helem di bip, hari ini pak @ridwankamil https://t.co/Zyz2bo4Ipk",Ya,,,Kriminalitas,pencurian / perampokan,BIP,-,
678856853913141248,"21 Des 2015, 03:37:41 PM","@pdamtirtawening ternyata sudah ada warga yg konfirm ke pdam,katanya: air tidak akan mengalir selama 1 bulan krn ada perbaikan @ridwankamil",, ,Ya,Pengelolaan Air & Sumber Daya Alam,air tidak mengalir,-,satu bulan,
678863335849254912,"21 Des 2015, 04:03:26 PM","Kang @ridwankamil, jalan di Muararajeun Baru, baru sebulanan dibenerin,udah rusak lagi. Yang ngerjain kaya ga serius https://t.co/yULuN5GC7n",Ya,,,Infrastruktur,jalan rusak,Jalan Muararajeun Baru ,satu bulanan,
678865395395117056,"21 Des 2015, 04:11:37 PM",RT @AdamMaulud: Didinyamah kieu ?? bosss! Kumaha pak? @ridwankamil daerah sapharuhai yeuh kang parkir liar seeur pisan atuhda-.- https://t.c?,Ya,,,Perhubungan,parkir sembarangan,daerah Sapharuhai ,-,
678865497023111169,"21 Des 2015, 04:12:01 PM","Pak @ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. Udah mah td kehujanan, wajah rupawan sy kacepretan :((",Ya,,,Perhubungan,motor tanpa spakbor,-,-,
678865763927650304,"21 Des 2015, 04:13:05 PM",@dbmpkotabdg @ridwankamil hatur nuhun dbmp lampu jl.merdeka atos sae,,,Ya,Infrastruktur,lampu penerangan jalan umum,Jalan Merdeka,-,
