kelas,tweet
3,el atheos ridwankamil mungkin perempuan bj merah yg paling lihat ada depan laki jg sering jadi bahan joke rk
1,ridwankamil dbmpkotabdg kang teman timpa pohn dijln sangkuriang dpn polsek coblong tlg tertib phn yg sdh lapuknuhun
3,tribun jabar biasa suka post agenda kang emil gak tiap hari rt ry ory klo k bdg bs ketemu kang ridwankamil dmn
1,dbmpkotabdg fajriattack lapor pak ridwankamil lampu terang jalan depan kampus lpkia ngaplek
3,diskamtam bapak ibu mau tanya kalo pelihara taman yg banyak dibagun skr gimana
1,pa ridwankamil tempat kerja tgl tetep masuk gimana atur pa kalo misal masuk potong gaji
1,pdamtirtawening ridwankamil punten minggu air pdam alir mohon bantu segera
1,kendiadiputra anak sma tahu curi hem bip hari pak ridwankamil
2,pdamtirtawening nyata warga yg konfirm pdam kata air akan alir lama bulan krn ada baik ridwankamil
1,kang ridwankamil jalan muararajeun baru baru bulan dibenerin udah rusak yang ngerjain kaya serius
1,adammaulud didinyamah kieu bosss maha pak ridwankamil daerah sapharuhai yeuh kang parkir liar seeur pis atuhda- -
1,pak ridwankamil punten marahin motor yg pake spakbor belakang udah mah td hujan wajah rupawan kacepretan
3,dbmpkotabdg ridwankamil hatur nuhun dbmp lampu merdeka atos sae
3,kalo pemkotbandung ridwankamil mau batas kendara yg feasible bisa laku segera wewenang mrk berantas parkir badan jalan
1,iqbalfg pak ridwankamil punten marahin motor yg pake spakbor belakang udah mah td hujan wajah rupawan kacepretan
1,pak tadi habis kebun binatang bersih kurang orangutannya jomblo pak mohon solusi pak ridwankamil
1,tadjiuinbdg ridwankamil lapor pak mobil x buang sampah pinggir jalan panjang jalan sersan bajuri
1,bonbin bandung kurang awat kasi sama hewan hewan pak ridwankamil coba bonbin bandung bikin kayak singapore zoo
3,pak ridwankamil pnya saran angkot antapani yg coklat lebur sj tp arah trayek kyk cimbeuleuit dl
3,ridwankamil pak lg mau pulang naek diangkot cheum- ledeng ad ibu sma bpak ngmongin bpak tp tenang koq pak ngmongin nya yg baik
1,dishub kotabdg yang buat jlnan macet adlah prmptan hrsnya jambtn lyang tiap empat ridwankamil
1,infobdg kalau macet begini lihat depan apa macet angkot bus ngetem ada sumber titik macet ridwankamil
1,saurwargi reckythea tolg ad orang wanita jl eikman tiap pg jam suka loncat tngh ambil kunci mtr dgn tebus rb satpolppbdg
